recipe_name,ingredients,preperation_steps,vegan_friendly_(yes/no),nut-free_(yes/no),non-dairy_friendly_(yes/no),vegan_substitute,dairy_substitute,nut_substitute,dietary_tags,source_url,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,food_name,category,iron,vitamin_c,unnamed:_0,fat_(g),carb._(g),fiber_(g),sodium,beverage_category,beverage,beverage_prep,total_fat_(g),trans_fat_(g),saturated_fat_(g),sodium_(mg),total_carbohydrates_(g),cholesterol_(mg),dietary_fibre_(g),sugars_(g),vitamin_a_(%_dv),vitamin_c_(%_dv),calcium_(%_dv),iron_(%_dv),caffeine_(mg),item_name
,,,,,,,,,,,0.43,9.13,0.11,0.0,0.0,35.0,,"Strawberries, frozen",Strawberries,0.75,41.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strawberries, frozen"
,,,,,,,,,,,2.88,44.22,11.6,0.0,0.0,289.0,,"Pie, strawberry",Cakes and pies,1.37,15.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pie, strawberry"
,,,,,,,,,,,0.2,66.3,0.1,0.0,0.0,1060.0,,"Toppings, strawberry",Sweets,0.28,13.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Toppings, strawberry"
,,,,,,,,,,,2.22,50.25,12.89,0.0,0.0,326.0,,"Cake or cupcake, strawberry",Cakes and pies,0.87,3.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Cake or cupcake, strawberry"
,,,,,,,,,,,3.31,40.09,4.73,0.0,0.0,214.0,,"Cake, strawberry shortcake",Cakes and pies,1.6,12.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Cake, strawberry shortcake"
,,,,,,,,,,,0.58,17.4,0.6,0.0,0.0,289.0,,"Guavas, strawberry, raw",Fruits and Fruit Juices,0.22,37.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Guavas, strawberry, raw"
,,,,,,,,,,,3.2,27.6,8.4,0.0,0.0,803.0,,"Ice creams, strawberry",Sweets,0.21,7.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Ice creams, strawberry"
,,,,,,,,,,,3.19,28.1,3.95,0.0,0.0,158.0,,"McDONALD'S, Strawberry Sundae",Fast Foods,0.1,1.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"McDONALD'S, Strawberry Sundae"
,,,,,,,,,,,0.0,65.1,0.02,0.0,0.0,261.0,,Strawberry drink syrup,"Jams, syrups, toppings",0.03,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Strawberry drink syrup
,,,,,,,,,,,0.42,5.17,0.14,0.0,0.0,23.0,,"Strawberry juice, 100%",Other fruit juice,0.17,38.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strawberry juice, 100%"
,,,,,,,,,,,3.2,8.54,2.06,0.0,0.0,65.0,,"Strawberry milk, NFS","Flavored milk, reduced fat",0.02,0.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strawberry milk, NFS"
,,,,,,,,,,,3.03,11.79,2.97,0.0,0.0,86.0,,"Strawberry milk, whole","Flavored milk, whole",0.03,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strawberry milk, whole"
,,,,,,,,,,,4.09,29.2,5.13,0.0,0.0,732.0,,"Fast foods, sundae, strawberry",Fast Foods,0.21,1.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Fast foods, sundae, strawberry"
,,,,,,,,,,,3.39,10.2,0.9,0.0,0.0,62.0,,"Kefir, lowfat, strawberry, LIFEWAY",Dairy and Egg Products,0.04,1.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Kefir, lowfat, strawberry, LIFEWAY"
,,,,,,,,,,,2.35,18.2,1.18,0.0,0.0,94.0,,SILK Strawberry soy yogurt,Legumes and Legume Products,0.64,17.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,SILK Strawberry soy yogurt
,,,,,,,,,,,0.53,25.9,0.13,0.0,0.0,402.0,,"Strawberries, frozen, sweetened, sliced",Fruits and Fruit Juices,0.59,41.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strawberries, frozen, sweetened, sliced"
,,,,,,,,,,,0.7,14.57,0.31,0.0,0.0,64.0,,"Blueberries, raw",Blueberries and other berries,0.34,8.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Blueberries, raw"
,,,,,,,,,,,0.42,12.17,0.64,0.0,0.0,51.0,,"Blueberries, frozen",Blueberries and other berries,0.18,2.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Blueberries, frozen"
,,,,,,,,,,,2.5,80.0,2.5,0.0,0.0,317.0,,"Blueberries, dried",Dried fruits,0.9,23.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Blueberries, dried"
,,,,,,,,,,,0.46,9.47,0.2,0.0,0.0,42.0,,Blueberry juice,Other fruit juice,0.22,5.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Blueberry juice
,,,,,,,,,,,0.0,85.13,0.0,0.0,0.0,341.0,,Blueberry syrup,"Jams, syrups, toppings",0.04,1.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Blueberry syrup
,,,,,,,,,,,2.82,37.95,15.52,0.0,0.0,300.0,,"Pie, blueberry",Cakes and pies,1.21,1.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pie, blueberry"
,,,,,,,,,,,2.5,80.0,2.5,0.0,0.0,1330.0,,"Blueberries, dried, sweetened",Fruits and Fruit Juices,0.9,23.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Blueberries, dried, sweetened"
,,,,,,,,,,,0.4,22.0,0.13,0.0,0.0,355.0,,"Blueberries, frozen, sweetened",Fruits and Fruit Juices,0.39,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Blueberries, frozen, sweetened"
,,,,,,,,,,,0.41,44.38,0.2,0.0,0.0,181.0,,Blueberry pie filling,"Jams, syrups, toppings",0.8,0.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Blueberry pie filling
,,,,,,,,,,,4.6,53.3,9.5,0.0,0.0,1310.0,,"Muffins, blueberry, toaster-type",Baked Products,0.51,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Muffins, blueberry, toaster-type"
,,,,,,,,,,,0.41,44.4,0.2,0.0,0.0,757.0,,"Pie fillings, blueberry, canned",Sweets,0.8,0.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pie fillings, blueberry, canned"
,,,,,,,,,,,1.8,34.9,10.0,0.0,0.0,971.0,,"Pie, blueberry, commercially prepared",Baked Products,0.3,2.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pie, blueberry, commercially prepared"
,,,,,,,,,,,2.35,17.1,1.18,0.0,0.0,88.0,,SILK Blueberry soy yogurt,Legumes and Legume Products,0.64,17.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,SILK Blueberry soy yogurt
,,,,,,,,,,,7.23,12.8,0.24,0.0,0.0,82.0,,"Yogurt, Greek, Blueberry, CHOBANI",Dairy and Egg Products,0.15,0.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Yogurt, Greek, Blueberry, CHOBANI"
,,,,,,,,,,,3.89,13.49,11.32,0.0,0.0,171.0,,Potato patty,French fries and other fried white potatoes,0.75,0.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Potato patty
,,,,,,,,,,,1.51,10.53,4.71,0.0,0.0,90.0,,"Soup, potato","Soups, cream-based",0.34,7.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Soup, potato"
,,,,,,,,,,,4.47,20.64,10.8,0.0,0.0,196.0,,Potato pancake,Mashed potatoes and white potato mixtures,1.3,15.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Potato pancake
,,,,,,,,,,,1.99,16.26,3.39,0.0,0.0,103.0,,Stewed potatoes,Mashed potatoes and white potato mixtures,0.38,15.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Stewed potatoes
,,,,,,,,,,,1.87,20.45,4.25,0.0,0.0,126.0,,"Potato, NFS","White potatoes, baked or boiled",0.34,12.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Potato, NFS"
,,,,,,,,,,,12.5,47.1,3.13,0.0,0.0,1120.0,,"Bread, potato",Baked Products,2.25,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bread, potato"
,,,,,,,,,,,2.44,17.2,6.33,0.0,0.0,135.0,,"Gnocchi, potato","Pasta mixed dishes, excludes macaroni and cheese",0.83,1.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Gnocchi, potato"
,,,,,,,,,,,6.9,83.1,0.34,0.0,0.0,357.0,,Potato flour,Vegetables and Vegetable Products,1.38,3.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Potato flour
,,,,,,,,,,,6.08,27.8,14.8,0.0,0.0,268.0,,Potato pancakes,Vegetables and Vegetable Products,1.67,27.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Potato pancakes
,,,,,,,,,,,3.78,8.81,6.43,0.0,0.0,109.0,,"Soup, potato with meat","Soups, cream-based",0.48,5.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Soup, potato with meat"
,,,,,,,,,,,1.9,24.4,15.46,0.0,0.0,237.0,,"Potato tots, NFS",French fries and other fried white potatoes,0.47,6.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Potato tots, NFS"
,,,,,,,,,,,2.02,19.34,9.16,0.0,0.0,166.0,,"Potato tots, school",French fries and other fried white potatoes,0.66,10.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Potato tots, school"
,,,,,,,,,,,2.26,37.3,9.35,0.0,0.0,191.0,,Sweet potato tots,Fried vegetables,0.81,7.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Sweet potato tots
,,,,,,,,,,,1.87,20.45,4.25,0.0,0.0,126.0,,"Potato, boiled, NFS","White potatoes, baked or boiled",0.34,12.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Potato, boiled, NFS"
,,,,,,,,,,,6.39,53.83,33.98,0.0,0.0,532.0,,"Potato chips, NFS",Potato chips,1.28,21.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Potato chips, NFS"
,,,,,,,,,,,6.39,53.83,33.98,0.0,0.0,532.0,,"Potato chips, plain",Potato chips,1.28,21.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Potato chips, plain"
,,,,,,,,,,,6.25,59.66,30.3,0.0,0.0,537.0,,"Potato chips, unsalted",Potato chips,1.19,22.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Potato chips, unsalted"
,,,,,,,,,,,6.63,52.77,34.06,0.0,0.0,517.0,,"Potato sticks, flavored",Potato chips,2.25,46.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Potato sticks, flavored"
,,,,,,,,,,,8.64,45.38,2.87,0.0,0.0,241.0,,"Bread, sweet potato",Yeast breads,3.14,4.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bread, sweet potato"
,,,,,,,,,,,4.96,41.08,9.75,0.0,0.0,269.0,,"Pie, sweet potato",Cakes and pies,1.06,10.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pie, sweet potato"
,,,,,,,,,,,2.92,56.54,32.19,0.0,0.0,529.0,,Sweet potato chips,"Tortilla, corn, other chips",2.11,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Sweet potato chips
,,,,,,,,,,,0.49,75.14,0.34,0.0,0.0,305.0,,Sweet potato paste,"Jams, syrups, toppings",0.16,3.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Sweet potato paste
,,,,,,,,,,,1.18,37.69,3.48,0.0,0.0,187.0,,"Sweet potato, candied",Other red and orange vegetables,0.31,9.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato, candied"
,,,,,,,,,,,1.58,17.14,4.53,0.0,0.0,115.0,,"Sweet potato, NFS",Other red and orange vegetables,0.4,12.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato, NFS"
,,,,,,,,,,,2.27,37.45,9.39,0.0,0.0,192.0,,"Sweet potato tots, school",Fried vegetables,0.81,7.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato tots, school"
,,,,,,,,,,,1.89,17.22,2.56,0.0,0.0,99.0,,"Sweet potato, casserole or mashed",Other red and orange vegetables,0.34,10.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato, casserole or mashed"
,,,,,,,,,,,9.5,49.87,3.15,0.0,0.0,265.0,,"Bread, sweet potato, toasted",Yeast breads,3.45,3.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bread, sweet potato, toasted"
,,,,,,,,,,,2.27,37.45,9.39,0.0,0.0,192.0,,"Sweet potato fries, frozen",Fried vegetables,0.81,7.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato fries, frozen"
,,,,,,,,,,,2.27,37.45,9.39,0.0,0.0,192.0,,"Sweet potato fries, NFS",Fried vegetables,0.81,7.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato fries, NFS"
,,,,,,,,,,,2.27,37.45,9.39,0.0,0.0,192.0,,"Sweet potato fries, school",Fried vegetables,0.81,7.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato fries, school"
,,,,,,,,,,,2.49,8.82,0.51,0.0,0.0,175.0,,"Sweet potato leaves, raw",Vegetables and Vegetable Products,0.97,11.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato leaves, raw"
,,,,,,,,,,,1.98,23.2,0.2,0.0,0.0,101.0,,"Sweet potato, canned, mashed",Vegetables and Vegetable Products,1.33,5.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato, canned, mashed"
,,,,,,,,,,,1.65,18.05,0.4,0.0,0.0,82.0,,"Sweet potato, cooked, as ingredient",Not included in a food category,0.42,13.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sweet potato, cooked, as ingredient"
,,,,,,,,,,,0.82,4.04,0.31,0.0,0.0,20.0,,"Tomatoes, raw",Tomatoes,0.22,16.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, raw"
,,,,,,,,,,,1.87,8.09,13.09,0.0,0.0,145.0,,Guacamole with tomatoes,"Dips, gravies, other sauces",0.52,10.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Guacamole with tomatoes
,,,,,,,,,,,0.65,3.64,0.41,0.0,0.0,19.0,,"Soup, tomato","Soups, broth-based",0.44,5.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Soup, tomato"
,,,,,,,,,,,2.7,14.1,4.97,0.0,0.0,110.0,,"Tomatoes, scalloped",Vegetable dishes,0.89,12.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, scalloped"
,,,,,,,,,,,1.32,7.09,0.39,0.0,0.0,134.0,,"Tomato products, canned, sauce, with tomato tidbits",Vegetables and Vegetable Products,0.68,21.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomato products, canned, sauce, with tomato tidbits"
,,,,,,,,,,,14.11,55.76,2.97,0.0,0.0,258.0,,Sun-dried tomatoes,Tomatoes,9.09,39.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Sun-dried tomatoes
,,,,,,,,,,,0.79,3.47,0.25,0.0,0.0,16.0,,"Tomatoes, red, ripe, canned, packed in tomato juice",Vegetables and Vegetable Products,0.57,12.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, red, ripe, canned, packed in tomato juice"
,,,,,,,,,,,3.68,21.78,12.84,0.0,0.0,216.0,,Fried green tomatoes,Fried vegetables,1.64,6.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Fried green tomatoes
,,,,,,,,,,,0.93,3.87,0.31,0.0,0.0,22.0,,Tomato juice cocktail,Vegetable juice,0.28,54.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Tomato juice cocktail
,,,,,,,,,,,2.0,19.41,2.18,0.0,0.0,107.0,,"Rice, white, with tomatoes and/or tomato-based sauce, fat added",Rice mixed dishes,0.97,4.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Rice, white, with tomatoes and/or tomato-based sauce, fat added"
,,,,,,,,,,,0.82,3.23,3.04,0.0,0.0,43.0,,"Tomatoes, canned, cooked",Tomatoes,0.56,12.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, canned, cooked"
,,,,,,,,,,,1.08,4.71,3.42,0.0,0.0,50.0,,"Tomatoes, fresh, cooked",Tomatoes,0.33,15.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, fresh, cooked"
,,,,,,,,,,,1.8,2.0,35.0,0.0,0.0,326.0,,Bacon and tomato dressing,Salad dressings and vegetable oils,0.27,8.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Bacon and tomato dressing
,,,,,,,,,,,4.7,21.9,3.46,0.0,0.0,137.0,,"Beans and rice, with tomatoes","Bean, pea, legume dishes",1.46,1.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beans and rice, with tomatoes"
,,,,,,,,,,,11.64,2.68,3.99,0.0,0.0,95.0,,Pork with chili and tomatoes,Meat mixed dishes,0.58,16.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Pork with chili and tomatoes
,,,,,,,,,,,1.21,6.39,4.68,0.0,0.0,70.0,,"Soup, cream of tomato","Soups, cream-based",0.6,6.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Soup, cream of tomato"
,,,,,,,,,,,0.63,7.65,0.33,0.0,0.0,34.0,,"Soup, tomato, canned","Soups, broth-based",0.44,2.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Soup, tomato, canned"
,,,,,,,,,,,1.71,12.89,3.29,0.0,0.0,87.0,,Stewed potatoes with tomatoes,Mashed potatoes and white potato mixtures,0.36,15.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Stewed potatoes with tomatoes
,,,,,,,,,,,0.86,8.46,0.08,0.0,0.0,38.0,,"Onions, raw",Onions,0.24,8.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, raw"
,,,,,,,,,,,8.81,44.32,2.95,0.0,0.0,238.0,,"Bread, onion",Yeast breads,3.11,0.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bread, onion"
,,,,,,,,,,,1.83,7.34,0.19,0.0,0.0,32.0,,"Onions, green, raw",Onions,1.48,18.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, green, raw"
,,,,,,,,,,,2.09,8.37,3.21,0.0,0.0,63.0,,"Onions, green, cooked",Onions,1.69,18.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, green, cooked"
,,,,,,,,,,,0.7,6.49,2.59,0.0,0.0,50.0,,"Onions, pearl, cooked",Onions,0.33,4.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, pearl, cooked"
,,,,,,,,,,,2.15,3.92,35.77,0.0,0.0,346.0,,"Onion dip, regular","Dips, gravies, other sauces",0.1,0.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onion dip, regular"
,,,,,,,,,,,2.0,11.87,12.36,0.0,0.0,166.0,,"Onion dip, light","Dips, gravies, other sauces",0.1,0.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onion dip, light"
,,,,,,,,,,,9.68,48.7,3.24,0.0,0.0,262.0,,"Bread, onion, toasted",Yeast breads,3.41,0.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bread, onion, toasted"
,,,,,,,,,,,5.29,41.0,22.2,0.0,0.0,385.0,,"DENNY'S, onion rings",Restaurant Foods,0.74,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"DENNY'S, onion rings"
,,,,,,,,,,,4.19,39.94,19.82,0.0,0.0,352.0,,Fried onion rings,Fried vegetables,0.96,1.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Fried onion rings
,,,,,,,,,,,7.7,65.1,22.6,0.0,0.0,499.0,,Onion flavored rings,"Tortilla, corn, other chips",3.72,1.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Onion flavored rings
,,,,,,,,,,,1.29,10.99,0.12,0.0,0.0,47.0,,"Onions, cooked, as ingredient",Not included in a food category,0.25,7.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, cooked, as ingredient"
,,,,,,,,,,,8.95,83.3,0.46,0.0,0.0,349.0,,"Onions, dehydrated flakes",Vegetables and Vegetable Products,1.55,75.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, dehydrated flakes"
,,,,,,,,,,,0.86,8.46,0.08,0.0,0.0,38.0,,"Onions, for use on a sandwich",Vegetables on a sandwich,0.24,8.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, for use on a sandwich"
,,,,,,,,,,,0.94,9.93,0.1,0.0,0.0,44.0,,"Onions, red, raw",Vegetables and Vegetable Products,0.24,8.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, red, raw"
,,,,,,,,,,,0.8,7.55,0.08,0.0,0.0,32.0,,"Onions, sweet, raw",Vegetables and Vegetable Products,0.26,4.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, sweet, raw"
,,,,,,,,,,,1.9,6.5,0.4,0.0,0.0,142.0,,"Onions, welsh, raw",Vegetables and Vegetable Products,1.22,27.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, welsh, raw"
,,,,,,,,,,,0.89,7.68,0.13,0.0,0.0,35.0,,"Onions, white, raw",Vegetables and Vegetable Products,0.15,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, white, raw"
,,,,,,,,,,,0.83,8.61,0.05,0.0,0.0,38.0,,"Onions, yellow, raw",Vegetables and Vegetable Products,0.28,8.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Onions, yellow, raw"
,,,,,,,,,,,1.43,2.87,74.02,0.0,0.0,683.0,,Garlic sauce,"Dips, gravies, other sauces",0.22,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Garlic sauce
,,,,,,,,,,,6.58,28.03,0.38,0.0,0.0,142.0,,"Garlic, cooked",Mustard and other condiments,1.69,8.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Garlic, cooked"
,,,,,,,,,,,6.62,28.2,0.38,0.0,0.0,143.0,,"Garlic, raw",Mustard and other condiments,1.7,10.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Garlic, raw"
,,,,,,,,,,,10.84,51.92,6.44,0.0,0.0,309.0,,"Roll, garlic",Rolls and buns,3.71,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Roll, garlic"
,,,,,,,,,,,8.36,41.7,16.6,0.0,0.0,1460.0,,"Garlic bread, frozen",Baked Products,3.05,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Garlic bread, frozen"
,,,,,,,,,,,8.34,41.64,16.58,0.0,0.0,349.0,,"Garlic bread, NFS",Yeast breads,3.04,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Garlic bread, NFS"
,,,,,,,,,,,8.36,41.72,16.61,0.0,0.0,350.0,,"Garlic bread, from frozen",Yeast breads,3.05,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Garlic bread, from frozen"
,,,,,,,,,,,12.2,44.5,12.9,0.0,0.0,1430.0,,"PIZZA HUT, breadstick, parmesan garlic",Fast Foods,4.65,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"PIZZA HUT, breadstick, parmesan garlic"
,,,,,,,,,,,8.34,41.64,16.58,0.0,0.0,349.0,,"Garlic bread, from fast food / restaurant",Yeast breads,3.04,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Garlic bread, from fast food / restaurant"
,,,,,,,,,,,10.36,36.86,17.1,0.0,0.0,343.0,,"Garlic bread, with melted cheese, from frozen",Yeast breads,2.68,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Garlic bread, with melted cheese, from frozen"
,,,,,,,,,,,8.78,41.14,16.83,0.0,0.0,351.0,,"Garlic bread, with parmesan cheese, from frozen",Yeast breads,3.0,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Garlic bread, with parmesan cheese, from frozen"
