en_name,th_name,ingredients,course,province,region,,unnamed:_0,food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,unnamed:_0.1,mean,median,histogram_path,description_path,heatmap_path,group,_source_file
Tam Tang,ตำแตง,Cucumber salad+chili+garlic,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Nam Tok,น้ำตก,Grilled meat salad+chili+garlic,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Phat Khi Mao,ผัดขี้เมา,Drunken noodles+chili+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Phat See Ew,ผัดซีอิ๊ว,Stir-fried noodles+soy sauce+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Phat Thai,ผัดไทย,Thai stir-fried noodles+fish sauce+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Phra Ram Long Song,พระรามลงสรง,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Yam Tawai,ยำทวาย,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Yam Pla Duk Fu,ยำปลาดุกฟู,Crispy catfish salad+fish sauce+garlic,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Yam Sam Krob,ยำสามกรอบ,Three crispy salad+fish sauce+garlic,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Yam Yai,ยำใหญ่,Mixed salad+fish sauce+garlic,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Yen Ta Fo,เย็นตาโฟ,Pink noodle soup+fish sauce+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Ro Yor,รอเยาะ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Rad Na,ราดหน้า,Stir-fried noodles with gravy+soy sauce+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
La Sao,ละซอ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Lab,ลาบ,Minced meat salad+fish sauce+garlic,main dish,Northeast provinces,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Som Tam,ส้มตำ,Papaya salad+fish sauce+garlic,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Sa Uh,สะเออะ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Suea Rong Hai,เสือร้องไห้,Grilled beef salad+fish sauce+garlic,main dish,Northeast provinces,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Sai Krok Isan,ไส้กรอกอีสาน,Isan sausage+garlic+chili,main dish,Northeast provinces,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Sai Ua,ไส้อั่ว,Northern sausage+garlic+chili,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Mam,หม่ำ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Mee Krob,หมี่กรอบ,Crispy noodles+fish sauce+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Mee Kati,หมี่กะทิ,Coconut milk noodles+fish sauce+garlic,main dish,Central provinces,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Moo Manao,หมูมะนาว,Pork with lime+garlic+chili,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Hoi Tod,หอยทอด,Oyster omelette+fish sauce+garlic,main dish,Coastal provinces,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Ang Kab Bob,อังแกบบอบ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Karaang,กะราง,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Kradang,แกงกระด้าง,Pork+gelatin+herbs,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Kari,แกงกะหรี่,Curry powder+coconut milk+meat,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Khanun,แกงขนุน,Jackfruit+pork+herbs,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Khee Lek,แกงขี้เหล็ก,Senna siamea leaves+pork+herbs,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Khiao Wan,แกงเขียวหวาน,Green curry paste+coconut milk+meat,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Kua,แกงคั่ว,Curry paste+coconut milk+meat,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Khae,แกงแค,Herbs+meat+vegetables,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Chin Chuan,แกงจีนจ๊วน,Herbs+pork+fermented fish,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Chuet,แกงจืด,Clear soup+meat+vegetables,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Chuek Som,แกงชักส้ม,Tamarind paste+fish+herbs,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng To Mae Ha,แกงตอแมะฮ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Tumi,แกงตูมี้,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Thepho,แกงเทโพ,Pork belly+curry paste+vegetables,main dish,Central provinces,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Noppakao,แกงนพเก้า,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Nok Mo,แกงนอกหม้อ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Nang Loy,แกงนางลอย,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Buan,แกงบวน,Herbs+pork blood+vegetables,main dish,Central provinces,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Bon,แกงบอน,Taro stems+curry paste+meat,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Bum Bai,แกงบุ่มไบ่,Curry paste+coconut milk+chicken,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Patcharee,แกงปัจรี,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Paa,แกงป่า,Herbs+meat+vegetables,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Poe,แกงเปอะ,Fermented fish+curry paste+vegetables,main dish,Northeast provinces,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Phet,แกงเผ็ด,Red curry paste+coconut milk+meat,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Matsaman,แกงมัสมั่น,Massaman curry paste+coconut milk+meat,main dish,Southern provinces,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Ron,แกงร้อน,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Rawaeng,แกงระแวง,Curry paste+coconut milk+meat,main dish,Central provinces,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Runjuan,แกงรัญจวน,Herbs+pork+shrimp paste,main dish,Central provinces,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Liang,แกงเลียง,Herbs+shrimp+vegetables,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Somrom,แกงสมรม,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Som,แกงส้ม,Sour curry paste+fish+vegetables,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Salae,แกงสะแล,Herbs+meat+vegetables,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Sap Nok,แกงสับนก,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Singhon,แกงสิงหล,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Hong,แกงหอง,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Ngao Ngod,แกงเหงาหงอด,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Lueang,แกงเหลือง,Yellow curry paste+fish+vegetables,main dish,Southern provinces,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Hang Le,แกงฮังเล,Hang Lay curry paste+pork+ginger,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kaeng Ho,แกงโฮะ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Hor Bai Toey,ไก่ห่อใบเตย,Chicken+pandan leaves+soy sauce,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kha Kai Super,ขาไก่ซุปเปอร์,Chicken feet+herbs+spices,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Jeow,ไข่เจียว,Eggs+oil+fish sauce,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Dao,ไข่ดาว,Eggs+oil,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Nam,ไข่น้ำ,Eggs+broth+vegetables,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Yat Sai,ไข่ยัดไส้,Eggs+vegetables+meat,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Raberd,ไข่ระเบิด,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Look Kheuy,ไข่ลูกเขย,Hard-boiled eggs+tamarind sauce,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kua Kling,คั่วกลิ้ง,Ground pork+curry paste,main dish,Southern provinces,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Ngob,งบ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Cho Phak Kat,จอผักกาด,Pickled mustard greens+pork+herbs,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Cho Hraeng,จอแหร้ง,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Jub Chai,จับฉ่าย,Mixed vegetables+meat+soy sauce,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Chu Chi,ฉู่ฉี่,Herbs+curry paste+fish,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Sup Khreung Nai,ซุปเครื่องใน,Offal+herbs+spices,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Sup Singapore,ซุปสิงคโปร์,Herbs+meat+spices,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
San Mo,แซนโม,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Tom Kati,ต้มกะทิ,Coconut milk+meat+herbs,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Tom Kha Kai,ต้มข่าไก่,Coconut milk+chicken+galangal,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Tom Khreung Nai Moo,ต้มเครื่องในหมู,Pork offal+herbs,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Tom Kloang,ต้มโคล้ง,Herbs+fish+spices,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
