recipe_name,ingredients,preperation_steps,vegan_friendly_yesno,nutfree_yesno,nondairy_friendly_yesno,vegan_substitute,dairy_substitute,nut_substitute,dietary_tags,source_url,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,food_name,category,protein,carbs,fat,iron,vitamin_c,unnamed_0,carb_g,sodium,beverage_category,beverage,beverage_prep,total_fat_g,trans_fat_g,saturated_fat_g,sodium_mg,total_carbohydrates_g,cholesterol_mg,dietary_fibre_g,sugars_g,vitamin_a__dv,vitamin_c__dv,calcium__dv,iron__dv,caffeine_mg
,,,,,,,,,,,27.6,13.8,21.5,15.2,31.0,355.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23.2,54.2,18.7,10.7,19.4,494.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16.7,59.5,17.0,13.6,17.7,471.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3.7,71.2,16.6,3.7,39.4,433.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,41.3,50.3,0.0,6.4,31.0,341.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,20.1,56.5,27.6,9.9,13.8,553.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24.6,79.9,17.2,12.7,21.3,589.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,22.5,30.0,15.2,9.9,18.8,352.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,33.9,63.6,26.9,6.0,12.3,615.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,25.2,68.5,24.2,10.3,12.2,615.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23.6,57.7,20.3,13.1,21.7,525.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,27.4,25.5,20.2,3.5,14.5,367.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21.5,52.2,27.8,9.6,9.3,554.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12.0,68.0,23.4,10.9,33.9,558.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,9.4,24.4,15.6,10.7,15.8,234.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23.0,43.5,9.0,1.7,28.6,378.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16.0,46.2,17.4,16.1,19.6,445.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18.8,8.6,12.4,7.6,16.4,179.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19.8,43.8,24.3,5.6,12.2,464.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24.7,37.3,15.7,6.5,32.6,395.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21.6,104.2,13.8,14.3,8.6,624.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,29.8,31.2,19.3,7.2,30.4,431.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16.3,67.1,16.5,3.5,10.4,455.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,6.2,91.5,24.9,7.1,9.0,654.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,29.1,104.4,1.3,0.2,4.7,570.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,37.2,30.0,10.6,14.4,22.9,345.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,33.8,42.3,13.8,8.4,17.0,469.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,29.9,54.7,11.6,1.9,18.4,447.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28.7,23.0,26.2,6.8,1.2,444.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,25.5,26.8,30.9,8.3,8.0,498.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24.5,72.3,20.1,1.6,13.2,515.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21.8,62.1,21.7,5.5,13.9,546.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,38.6,43.9,30.5,10.1,21.4,565.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21.3,106.5,12.6,0.2,28.6,643.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,37.4,33.1,10.7,12.4,13.9,355.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5.9,67.6,28.4,6.5,21.7,560.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,25.4,42.7,23.4,4.4,12.0,446.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13.2,77.4,16.8,6.5,16.0,500.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,29.4,50.4,41.0,4.4,13.9,689.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28.5,15.6,3.8,3.2,2.5,183.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,31.3,76.3,29.3,5.7,25.3,654.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28.6,48.7,23.8,11.7,6.1,514.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12.8,79.9,17.7,9.3,1.5,552.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,9.0,35.5,15.2,6.2,20.8,321.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19.4,20.8,21.6,3.2,12.2,341.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18.2,50.0,18.5,3.7,12.3,406.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,31.3,82.9,16.1,8.4,8.2,652.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18.9,56.4,24.9,7.9,10.6,472.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,32.1,20.1,13.2,9.0,0.0,323.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,35.5,45.7,24.9,9.7,2.4,605.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,26.6,42.1,24.3,9.0,1.9,511.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28.4,28.6,30.9,7.4,17.1,510.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19.1,93.9,26.1,3.4,30.7,658.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,41.4,42.2,10.7,2.9,0.0,401.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,25.5,15.2,24.6,0.8,15.6,362.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,38.6,42.8,19.7,8.7,14.2,432.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.1,55.7,26.4,10.2,0.0,492.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,38.5,64.7,32.0,7.5,21.6,720.0,high,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16.0,64.3,35.6,3.9,19.8,643.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21.0,62.1,14.3,6.1,13.8,450.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,52.2,50.3,28.9,13.2,5.4,668.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,37.4,4.9,27.7,8.1,18.0,418.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24.4,75.8,0.0,5.4,16.1,366.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,25.5,28.9,12.8,7.2,7.8,311.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23.8,26.0,23.0,7.4,22.6,383.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,38.1,77.5,15.3,5.0,21.6,601.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3.6,51.9,31.1,15.8,21.2,464.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,37.4,31.3,26.5,8.2,9.4,515.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,14.2,44.3,26.8,6.8,22.0,434.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,25.4,76.3,16.4,6.9,17.8,549.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,33.7,45.2,31.9,8.2,40.0,630.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,26.8,78.6,15.2,4.8,18.6,591.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,15.8,77.8,34.3,8.1,10.4,650.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23.1,24.9,15.8,11.9,10.8,350.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,27.9,45.1,24.4,6.7,0.0,598.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28.1,64.1,12.3,4.6,11.2,491.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24.7,51.5,40.0,16.5,20.3,666.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13.5,14.6,12.8,3.3,25.8,222.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19.2,60.7,34.6,4.5,15.5,623.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16.8,78.3,21.7,7.1,11.3,600.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28.2,52.6,14.1,12.0,11.4,450.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,43.2,53.1,14.9,7.1,19.1,498.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
